poop_vial_id,field_poop_vial_id,weight_observer,sample_extracted_if_two_samples,date_weighed,mass_extracted_.g.,mass_estimated.,hair_in_feces.,extraction_notes_.contaminants_removed.,other_extraction_notes,extra_fecal_sample.,duplicate_sample.,extracted.,date_of_extraction,extraaction_observer
L3671,,,,,0.05,Y,,,all extraction info lost,,,,,
P0058,,,,,0.05,Y,,,all extraction info lost,,,,,
P0448,,,,,0.05,Y,,,all extraction info lost,,,,,
P1133,,,,,0.05,Y,,,all extraction info lost,,,,,
P1251,,,,,0.05,Y,,,all extraction info lost,,,,,
P1620,,,P1699,,0.05,Y,,,all extraction info lost,,,,,
P2066,,,,,0.05,Y,,,all extraction info lost,,,,,
P2102,,,,,0.05,Y,,,all extraction info lost,,,,,
P2324,,,,,0.05,Y,,,all extraction info lost,,,,,
P2337,,,,,0.05,Y,,,all extraction info lost,,,,,
P2378,,,,,0.05,Y,,,all extraction info lost,,,,,
P3235,,,,,0.05,Y,,,all extraction info lost,,,,,
K2543,,,,2016-12-07,0.051,,N,,also was extracted on 3/15/17,,Y,,,
B2918,,,B2918,2015-11-22,0.054,,N,,B2892 is other sample from trapping that was not ground,,Y,,,
I1162,,,,2016-02-12,0.053,,N,,could be I1167?,,,,,
I3754,,FVK,,2015-09-02,0.049,,,,could be I3751,,,,,
I3826,,FVK,,2015-09-02,0.049,,N,needles removed,could be I3820,,,,,
P0083,,,,2015-10-23,0.046,,N,,crushed already?,,,,,
P0888,,,,2015-10-23,0.052,,N,,crushed already?,,,,,
H1419,,,,2015-10-20,0.054,,N,bract and needles removed,"DOUBLE 20-10-15 0.054, No, needle&bract",,,,,
B3988,,,,2015-11-20,0.048,,N,,"double also 20 nov 15 0.048g. EIA on 24-11-15, Conc=12.71 CV=25.81",,,,,
B3955,,,,2015-11-19,0.051,,N,"bark, bract removed","double also 23-11 0.051, yes, bract, EIA 26-11-5 32.543, 9.769",,,,,
A0346,,,,2015-11-12,0.048,,N,,"double also on 17-11-15 0.048g, No,",,,,,
B4052,,,,2015-11-20,0.052,,N,,"double also on 214-11, 0.05g, no, , EIA 26-11, 43.2, 2.7",,Y,,,
E0617,,,,2015-10-25,0.052,,N,bracts removed,"Double E0617 on 25-10-15 0.052, No,",,,,,
E0621,,,,2015-10-17,0.055,,N,needles removed,"Double E0621 on 26-10-15 0.050, No,",,,,,
B3982,,,,2015-11-20,0.05,,N,leaves removed,Double extract,,,,,
P1817,,,,2015-11-18,0.055,,N,bracts removed,Double extract,,,,,
H0257,,,,2015-10-16,0.051,,N,bracts removed,"Double h0257 on 26-10-15 0.051g, No, bracks removed",,,,,
P0039,,,,,0.052,,,,double in cort data,,Y,,,
P0256,,,,,0.07,,,,double in cort data,,Y,,,
B3974,,,,2015-11-20,0.049,,N,bracts removed,"double p0075 on 28-10-15 0.049, Yes, leaf and needle removed",,Y,,,
B3908,,,,2015-11-24,0.05,,N,,double sample,,Y,,,
B3877,,,,2015-11-24,0.051,,N,leaves removed,"double sample also extracted 16 Dec 2015, 0.051 g, no needles/bracts",,Y,,,
B3858,,,,2015-11-24,0.048,,N,grass removed,"double, also on 15-12-15, 0.054, no",,Y,,,
B4093,,,,2015-11-30,0.048,,N,bract and needles removed,"double, also on 16-12-15 0.051, no",,Y,,,
B3905,,,,2015-11-24,0.05,,N,,"double, also on 30-11-15, 0.051, no, , EIA on 14 dec 15 32.59 and CV=76.481",,,,,
B4038,,,,2015-11-23,0.019,,N,,"double, other also on 23-11, 0.019gm no, . EIA other conc=3.047, CV=16.335",,Y,,,
B3854,,,,,0.05,,,,Duplicate sample,,Y,,,
B3856,,,,,0.055,,,,Duplicate sample,,Y,,,
B3860,,,,,0.06,,,,Duplicate sample,,Y,,,
B3860,,,,,0.06,,,,Duplicate sample,,Y,,,
B3870,,,,,0.05,,,,Duplicate sample,,Y,,,
B3870,,,,,0.05,,,,Duplicate sample,,Y,,,
B3870,,,,,0.05,,,,Duplicate sample,,Y,,,
B3918,,,,,0.057,,,,Duplicate sample,,Y,,,
B3922,,,,,0.051,,,,Duplicate sample,,Y,,,
B3922,,,,,0.051,,,,Duplicate sample,,Y,,,
B3922,,,,,0.057,,,,Duplicate sample,,Y,,,
B3937,,,,,0.055,,,,Duplicate sample,,Y,,,
B3937,,,,,0.055,,,,Duplicate sample,,Y,,,
B3937,,,,,0.055,,,,Duplicate sample,,Y,,,
B3937,,,,,0.055,,,,Duplicate sample,,Y,,,
B3989,,,,,0.051,,,,Duplicate sample,,Y,,,
B3989,,,,,0.051,,,,Duplicate sample,,Y,,,
B3989,,,,,0.051,,,,Duplicate sample,,Y,,,
B3989,,,,,0.053,,,,Duplicate sample,,Y,,,
B3999,,,,,0.051,,,,Duplicate sample,,Y,,,
B3999,,,,,0.054,,,,Duplicate sample,,Y,,,
B3999,,,,,0.057,,,,Duplicate sample,,Y,,,
B4000,,,,,0.039,,,,Duplicate sample,,Y,,,
B4000,,,,,0.039,,,,Duplicate sample,,Y,,,
B4000,,,,,0.051,,,,Duplicate sample,,Y,,,
B4000,,,,,0.051,,,,Duplicate sample,,Y,,,
B4012,,,,2015-11-30,0.051,,Y,bracts removed,duplicate sample,,Y,,,
B4012,,,,2015-12-15,0.053,,N,needles removed,Duplicate sample,,Y,,,
B4016,,,,,0.053,,,,Duplicate sample,,Y,,,
B4016,,,,,0.053,,,,Duplicate sample,,Y,,,
B4016,,,,,0.053,,,,Duplicate sample,,Y,,,
B4016,,,,,0.053,,,,Duplicate sample,,Y,,,
B4016,,,,,0.057,,,,Duplicate sample,,Y,,,
B4019,,,,2015-11-23,0.053,,N,,Duplicate sample,Y,Y,,,
B4043,,,,,0.053,,,,Duplicate sample,,Y,,,
B4043,,,,,0.053,,,,Duplicate sample,,Y,,,
B4043,,,,,0.053,,,,Duplicate sample,,Y,,,
B4043,,,,,0.053,,,,Duplicate sample,,Y,,,
B4043,,,,,0.053,,,,Duplicate sample,,Y,,,
B4045,,,,,0.039,,,,Duplicate sample,,Y,,,
B4045,,,,,0.052,,,,Duplicate sample,,Y,,,
B4069,,,,2015-11-19,0.05,,N,,Duplicate sample,,Y,,,
B4069,,,,2015-12-15,0.048,,N,grass removed,Duplicate sample,,Y,,,
B4072,,,,,0.042,,,,Duplicate sample,,Y,,,
B4072,,,,,0.042,,,,Duplicate sample,,Y,,,
B4072,,,,,0.05,,,,Duplicate sample,,Y,,,
B4074,,,,2015-12-01,0.049,,N,,Duplicate sample,,Y,,,
B4074,,,,,0.054,,,,Duplicate sample,,Y,,,
B4501,,,,,0.055,,,,Duplicate sample,,Y,,,
B4501,,,,,0.055,,,,Duplicate sample,,Y,,,
C0420,,,,,0.052,,,,Duplicate sample,,Y,,,
C0420,,,,,0.054,,,,Duplicate sample,,Y,,,
C0681,,,,2015-11-24,0.014,,N,,Duplicate sample,,Y,,,
L1762,,Adam Scott,,2018-03-28,0.05,,N,,Duplicate sample,Y,Y,Y,2018-06-01,Mark Castaneda
P2210,,,,,0.051,,,,Duplicate sample,,Y,,,
P2210,,,,,0.051,,,,Duplicate sample,,Y,,,
K3213,,,,2016-11-22,0.052,,N,needles removed,Duplicate sample (other one with same ID extracted 12/7/16),,Y,,,
P2210,,,,,0.051,,,,Duplicate sample; double in cort data,,Y,,,
P0075,,,,2015-10-28,0.011,,Y,,"Duplicate sample; double p0075 on 28-10-15 0.049, Yes, leaf and needle removed","double p0075 on 28-10-15 0.049, Yes, leaf and needle removed",Y,,,
B4019,,,,2015-11-23,0.053,,N,,"Duplicate sample; double, also on 23-11 0.053, no, , EIA 26-11, 11.85/13.814","double, also on 23-11 0.053, no, , EIA 26-11, 11.85/13.814",Y,,,
A0803,,,,2015-11-12,0.054,,N,,Duplicate sample?,,?,,,
A1379,,,,2015-11-12,0.051,,Y,,Duplicate sample?,,?,,,
B0850,,,,2015-11-03,0.017,,N,needles removed,Duplicate sample?,,?,,,
B1686,,,,2015-11-03,0.05,,N,grass removed,Duplicate sample?,,?,,,
L1762,,Jinghan Xu,,2018-02-16,0.05,,N,leaves and needles removed,Dupllicate sample,Y,Y,Y,2018-03-01,Mark Castaneda
13.9,,Mark Castaneda,,2018-06-15,,,,,"empty sample tube, not extracted",N,,Y,2018-07-01,Mark Castaneda
H0410 H0749,,FVK,H0410,2015-10-11,0.05,,N,needles removed,Extracted both samples separately,,,,,
H0751 H0789,,FVK,H0789,2015-10-08,0.053,,N,,Extracted both samples separately,,,,,
H0772 H1569,,FVK,H1569,2015-10-11,0.051,,N,,Extracted both samples separately,,,,,
H0799 H1659,,,H1659,2015-10-15,0.053,,N,bracts removed,Extracted both samples separately,,,,,
H0799 H1659,,FVK,H0799,2015-10-11,0.048,,N,needles removed,Extracted both samples separately,,,,,
H1096 H0975,,FVK,H1096,2015-10-11,0.052,,N,needles removed,Extracted both samples separately,,,,,
H1103 H1166,,FVK,H1166,2015-10-08,0.047,,N,bracts and grass removed,Extracted both samples separately,,,,,
H1103 H1166,,FVK,H1103,2015-10-11,0.051,,N,bracts removed,Extracted both samples separately,,,,,
H1165 H1117,,FVK,H1165,2015-10-08,0.049,,N,,Extracted both samples separately,,,,,
H1242 H1180,,FVK,H1180,2015-10-08,0.05,,N,needles removed,Extracted both samples separately,,,,,
H1242 H1180,,FVK,H1242,2015-10-08,0.046,,N,bracts and grass removed,Extracted both samples separately,,,,,
H1286 H0752,,FVK,H1286,2015-10-11,0.047,,N,needles removed,Extracted both samples separately,,,,,
K1478,,,,2017-01-18,0.048,,Y,bracts removed,extracted in 100% MeOH by Matt M,,,,,
K5525,,,,2016-11-08,0.052,,N,leaves removed,extracted in 100% MeOH by Matt M,,,,,
K5595,,,,2016-11-09,0.029,,N,needles removed,extracted in 100% MeOH by Matt M,,,,,
K5710,,,,2016-11-08,0.051,,N,needles removed,extracted in 100% MeOH by Matt M,,,,,
K5715,,,,2016-11-08,0.052,,N,leaves removed,extracted in 100% MeOH by Matt M,,,,,
K5792,,,,2016-11-08,0.026,,N,needles removed,extracted in 100% MeOH by Matt M,,,,,
K5892,,,,2016-11-09,0.022,,N,needles removed,extracted in 100% MeOH by Matt M,,,,,
