id,poop_id,extraction_date,extraction_observer_id,extraction_volume,weigh_date,weigh_observer_id,hair,contaminants_removed,mass_g,extra,box_id
1703,A0521,NA,NA,1000,NA,NA,NA,NA,0.054,NA,8
1704,A0522,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1705,A0523,NA,NA,1000,NA,NA,NA,NA,0.058,NA,9
1706,A0524,NA,NA,1000,NA,NA,NA,NA,0.052,NA,5
1707,A0528,NA,NA,1000,2015-11-17,NA,FALSE,leaves removed,0.049,NA,NA
1708,A0535,NA,NA,1000,NA,NA,NA,NA,0.028,NA,9
1709,A0538,NA,NA,1000,2015-11-11,NA,FALSE,bracts removed,0.054,NA,48
1710,A0540,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.051,NA,48
1711,A0542,NA,NA,1000,NA,NA,NA,NA,0.052,NA,8
1712,A0545,NA,NA,1000,NA,NA,NA,NA,0.052,NA,12
1713,A0548,NA,NA,1000,NA,NA,NA,NA,0.033,NA,8
1714,A0549,NA,NA,1000,NA,NA,NA,NA,0.055,NA,14
1715,A0550,NA,NA,1000,NA,NA,NA,NA,0.051,NA,NA
1716,A0555,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.028,NA,48
1717,A0556,NA,NA,1000,NA,NA,NA,NA,0.05,NA,9
1718,A0557,NA,NA,1000,2015-11-09,NA,FALSE,grass removed,0.053,NA,50
1719,A0562,NA,NA,1000,NA,NA,NA,NA,0.052,NA,28
1720,A0564,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.053,NA,NA
1721,A0565,NA,NA,1000,2015-11-12,NA,FALSE,needles removed,0.028,NA,50
1722,A0566,NA,NA,1000,2015-11-17,NA,FALSE,grass removed,0.05,NA,48
1723,A0571,NA,NA,1000,NA,NA,NA,NA,0.052,NA,NA
1724,A0572,NA,NA,1000,2015-11-12,NA,TRUE,bracts removed,0.048,NA,48
1725,A0574,NA,NA,1000,2015-11-12,NA,FALSE,bract and grass removed,0.048,NA,48
