trapping_id,squirrel_id,poop_id,year,poop_time,comments
79585,10191,P0878,2008,NA,P0878 2:55
79590,8663,P0800,2008,NA,P0800 1:20
79591,8720,P0707,2008,NA,P0707
79592,10219,P0687,2008,NA,P0687
79594,10399,P0646,2008,NA,P0646 2:10
79596,10645,P0895,2008,NA,TagL removed lnfected; P0895; release
79598,13654,P0699,2008,NA,P0699 11:45
79599,8407,P0645,2008,NA,"P0645, P0636 2:05"
79599,8407,P0636,2008,NA,"P0645, P0636 2:05"
79600,8825,P0661,2008,NA,P0661 2:30
79601,10086,P0722,2008,NA,P0722 12:45
79602,10125,P0685,2008,NA,"P0685, P0910 12:55"
79602,10125,P0910,2008,NA,"P0685, P0910 12:55"
79603,10077,P0602,2008,NA,P0602 1:15
79609,7897,P0618,2008,NA,P0618 12:57
79612,8413,P0794,2008,NA,HT 25; TEST 20.6 8.4 19.9 8.1; P0794 P
79616,8729,P0731,2008,NA,ht 5;FMRF 1242;P0731
79618,10177,P0908,2008,NA,HT 0; TEST 19.9 8.5 20.5 8.5; P0908 P0
79620,10274,P0891,2008,NA,FMRI 1600;P0891;
79623,10275,P0641,2008,NA,HT 19; TEST 22.7 9.1 22.9 9.3; P0641 P
79626,10341,P0606,2008,NA,HT 16; TEST 19.2 7.9 16.5 8.3; P0606
79627,10342,P0828,2008,NA,P0828 1:09
79628,10370,P0889,2008,NA,ht 0;P0889;
79629,10376,P0882,2008,NA,HT 22; TEST 22.1 8.8 22.0 7.6; P0882
79640,7898,P0807,2008,NA,P0807 11:55
79642,10133,P0617,2008,NA,"P0617 3:00 injured, long scratches"
79643,10362,P0718,2008,NA,P0718 1:55
79646,8082,P0650,2008,NA,P0650 1:45
79648,8349,P0766,2008,NA,P0766/P0899 11:50
79648,8349,P0899,2008,NA,P0766/P0899 11:50
79649,8475,P0629,2008,NA,P0629
79652,10253,P0861,2008,NA,P0861 12:25
79654,10337,P0909,2008,NA,Q.11 mid ; P0909
79655,10762,P0698,2008,NA,P0698
79658,12078,P0763,2008,NA,P0763
79659,7995,P0835,2008,NA,"P0835, P0758 1:55"
79659,7995,P0758,2008,NA,"P0835, P0758 1:55"
79660,8462,P0788,2008,NA,"P0788, P0674 2:55"
79660,8462,P0674,2008,NA,"P0788, P0674 2:55"
79661,8657,P0892,2008,NA,P0892 1:40
79662,10061,P0626,2008,NA,P0626 1:00
79664,10086,P0810,2008,NA,P0810 1:14
79665,10262,P0796,2008,NA,P0796 2:00
79666,10693,P0838,2008,NA,"P0838, P0867 3:20"
79666,10693,P0867,2008,NA,"P0838, P0867 3:20"
79667,10696,P0615,2008,NA,"P0615, P0826 1:55 DNA sampled"
79667,10696,P0826,2008,NA,"P0615, P0826 1:55 DNA sampled"
79675,8659,P0900,2008,NA,P0900 1:00
79676,10327,P0716,2008,NA,P0716 12:30
79689,10587,P0690,2008,NA,P0690 1:30PM
79694,8478,P0740,2008,NA,P0740 12:45
79695,8656,P0793,2008,NA,P0793
79698,10167,P0651,2008,NA,P0651 1:05
79702,10658,P0686,2008,NA,P0686 2:05
79703,10701,P0896,2008,NA,P0896 1:50
79707,8259,P0684,2008,NA,P0684 12:14
79708,10228,P0655,2008,NA,P0655 2:47
79709,10264,P0742,2008,NA,P0742 12:26
79711,10713,P0705,2008,NA,P0705 1:13
79714,8292,P0723,2008,NA,Notch L; P0723
79715,8590,P0613,2008,NA,P0613 12:45
79716,8595,P0778,2008,NA,P0778 12:35
79718,10102,P0691,2008,NA,P0691
79723,10336,P0598,2008,NA,P0598
79724,10383,P0734,2008,NA,P0734 12:50
79730,13655,P0614,2008,NA,P0614
79740,7915,P0812,2008,NA,P0812 1:35
79741,7926,P0859,2008,NA,P0859 11:26
79742,8398,P0762,2008,NA,P0762 2:15
79743,8443,P0752,2008,NA,P0752 1:25
79746,8579,P0819,2008,NA,P0819 1:00
79753,8817,P0733,2008,NA,P0733 1:15
79755,10134,P0681,2008,NA,P0681 12:07
79757,10160,P0712,2008,NA,P0712 2:10
79760,10747,P0610,2008,NA,P0610 12:45
79770,10344,P0747,2008,NA,P0747 12:35
79773,10658,P0865,2008,NA,P0865 12:20
79774,8095,P0799,2008,NA,P0799 1:15
79775,8238,P0612,2008,NA,P0612 3:20
79776,8588,P0679,2008,NA,P0679 3:05
79779,10158,P0795,2008,NA,P0795 12:25
79780,13164,P0694,2008,NA,P0694 EtOH
79785,10096,P0894,2008,NA,P0894 2:00
79790,10242,P0693,2008,NA,P0693 11:45
79794,8385,P0829,2008,NA,P0829 12:48
79795,8577,P0170,2008,NA,P0170 2:30
79798,8648,P0637,2008,NA,P0637 12:33
79800,8733,P0666,2008,NA,P0666 1:48
