poop_id,lab,observer_id,date,dilution,volume_used,concentration,cv,plate_id,is_rerun,hormone,protocol_id
C0208,Boonstra,BJD,2011-05-21,9,10,13.838,20,T.2011.33,NA,Testosterone,TB910
C0210,Boonstra,BJD,2011-05-21,9,10,12.34,8,T.2011.31,NA,Testosterone,TB910
C0212,Boonstra,BJD,2011-05-25,9,10,16.314,9.9,T.2011.36,NA,Testosterone,TB910
C0216,Boonstra,BJD,2011-05-31,9,10,16.621,3.7,T.2011.45,NA,Testosterone,TB910
C0223,Boonstra,BJD,2011-05-25,9,10,30.154,7.3,T.2011.37,NA,Testosterone,TB910
C0229,Boonstra,BJD,2011-05-20,9,10,18.549,6,T.2011.28,NA,Testosterone,TB910
C0235,Boonstra,BJD,2011-05-21,9,10,23.951,1.1,T.2011.33,NA,Testosterone,TB910
C0239,Boonstra,BJD,2011-05-20,9,10,9.848,3.1,T.2011.28,NA,Testosterone,TB910
C0240,Boonstra,BJD,2011-05-25,9,10,22.225,6.6,T.2011.38,NA,Testosterone,TB910
C0241,Boonstra,BJD,2011-05-25,9,10,11.588,3.4,T.2011.36,NA,Testosterone,TB910
C0242,Boonstra,BJD,2011-05-26,9,10,27.042,12.1,T.2011.40,NA,Testosterone,TB910
C0253,Boonstra,BJD,2011-05-21,9,10,9.531,2.7,T.2011.29,NA,Testosterone,TB910
C0263,Boonstra,BJD,2011-05-21,9,10,14.851,1.3,T.2011.33,NA,Testosterone,TB910
C0275,Boonstra,BJD,2011-05-25,9,10,34.156,0,T.2011.35,NA,Testosterone,TB910
C0276,Boonstra,BJD,2011-05-25,9,10,12.972,6.5,T.2011.35,NA,Testosterone,TB910
C0281,Boonstra,BJD,2011-05-26,9,10,15.093,10.3,T.2011.39,NA,Testosterone,TB910
C0291,Boonstra,BJD,2011-05-31,9,10,19.312,0,T.2011.45,NA,Testosterone,TB910
C0304,Boonstra,BJD,2011-06-01,9,10,15.239,0,T.2011.48,NA,Testosterone,TB910
C0315,Boonstra,BJD,2011-05-21,9,10,10.929,5.7,T.2011.29,NA,Testosterone,TB910
C0320,Boonstra,BJD,2011-05-25,9,10,36.769,0,T.2011.37,NA,Testosterone,TB910
